Americanize Americanized Americanizing Americanizes
exercise exercised exercising exercises
exert exerted exerting exerts
exfoliate exfoliated exfoliating exfoliates
exhale exhaled exhaling exhales
exhaust exhausted exhausting exhausts
exhibit exhibited exhibiting exhibits
exhilarate exhilarated exhilarating exhilarates
exhort exhorted exhorting exhorts
exhume exhumed exhuming exhumes
exile exiled exiling exiles
exist existed existing exists
exit exited exiting exits
exonerate exonerated exonerating exonerates
exorcise exorcised exorcising exorcises
exorcize exorcized exorcizing exorcizes
expand expanded expanding expands
expatiate expatiated expatiating expatiates
expatriate expatriated expatriating expatriates
expect expected expecting expects
expectorate expectorated expectorating expectorates
expedite expedited expediting expedites
expel expelled expelling expels
expend expended expending expends
expense expensed expensing expenses
experience experienced experiencing experiences
experiment experimented experimenting experiments
expert experted experting experts
expertise expertised expertising expertises
expiate expiated expiating expiates
expire expired expiring expires
explain explained explaining explains
explicate explicated explicating explicates
explode exploded exploding explodes
exploit exploited exploiting exploits
explore explored exploring explores
export exported exporting exports
expose exposed exposing exposes
exposit exposited expositing exposits
expostulate expostulated expostulating expostulates
expound expounded expounding expounds
express expressed expressing expresses
expropriate expropriated expropriating expropriates
expunge expunged expunging expunges
expurgate expurgated expurgating expurgates
extemporise extemporised extemporising extemporises
extemporize extemporized extemporizing extemporizes
extend extended extending extends
extenuate extenuated extenuating extenuates
exteriorize exteriorized exteriorizing exteriorizes
exterminate exterminated exterminating exterminates
externalise externalised externalising externalises
externalize externalized externalizing externalizes
extinct extincted extincting extincts
extinguish extinguished extinguishing extinguishes
extirpate extirpated extirpating extirpates
extol extolled extolling extols
extoll extolled extolling extolls
extort extorted extorting extorts
extract extracted extracting extracts
extradite extradited extraditing extradites
extrapolate extrapolated extrapolating extrapolates
extravasate extravasated extravasating extravasates
extravert extraverted extraverting extraverts
extricate extricated extricating extricates
extrovert extroverted extroverting extroverts
extrude extruded extruding extrudes
exude exuded exuding exudes
exult exulted exulting exults
exuviate exuviated exuviating exuviates
eyeball eyeballed eyeballing eyeballs
fable fabled fabling fables
fabricate fabricated fabricating fabricates
face faced facing faces
facelift facelifted facelifting facelifts
facilitate facilitated facilitating facilitates
facsimile facsimiled facsimileing, 2
factor factored factoring factors
factorise factorised factorising factorises
factorize factorized factorizing factorizes
fade faded fading fades
fag fagged fagging fags
fail failed failing fails
faint fainted fainting faints
fair faired fairing fairs
fake faked faking fakes
fall fell fallen falling
fallow fallowed fallowing fallows
falsify falsified falsifying falsifies
falter faltered faltering falters
fame famed faming fames
familiarise familiarised familiarising familiarises
familiarize familiarized familiarizing familiarizes
famish famished famishing famishes
fan fanned fanning fans
fancy fancied fancying fancies
fang fanged fanging fangs
fantasize fantasized fantasizing fantasizes
fantasy fantasied fantasying fantasies
farce farced farcing farces
fare fared faring fares
farewell farewelled farewelling farewells
farm farmed farming farms
farrow farrowed farrowing farrows
fart farted farting farts
fascinate fascinated fascinating fascinates
fashion fashioned fashioning fashions
fast fasted fasting fasts
fasten fastened fastening fastens
fate fated fating fates
father fathered fathering fathers
fathom fathomed fathoming fathoms
fatigue fatigued fatiguing fatigues
fatten fattened fattening fattens
fault faulted faulting faults
favor favored favoring favors
favour favoured favouring favours
fawn fawned fawning fawns
fax faxed faxing faxes
faze fazed fazing fazes
fear feared fearing fears,
feast feasted feasting feasts
feather feathered feathering feathers
featherbed featherbedded featherbedding featherbeds
feature featured featuring features
fecundate fecundated fecundating fecundates
federalize federalized federalizing federalizes
federate federated federating federates
fee feed feeing fees
feed fed feeding feeds
feel felt feeling feels
feign feigned feigning feigns
feint feinted feinting feints
felicitate felicitated felicitating felicitates
fell felled felling fells
fellate fellated fellating fellates
fellow fellowed fellowing fellows
felt felted felting felts
fence fenced fencing fences
fend fended fending fends
ferment fermented fermenting ferments
ferret ferreted ferreting ferrets
ferrule ferruled ferruling ferrules
ferry ferried ferrying ferries
fertilize fertilized fertilizing fertilizes
ferule feruled feruling ferules
fess fessed fessing fesses
fester festered festering festers
festoon festooned festooning festoons
fetch fetched fetching fetches
fete feted feting fetes
fetter fettered fettering fetters
fettle fettled fettling fettles
feud feuded feuding feuds
fever fevered fevering fevers
fib fibbed fibbing fibs
fiberglass fiberglassed fiberglassing fiberglasses
fibrillate fibrillated fibrillating fibrillates
fictionalize fictionalized fictionalizing fictionalizes
fiddle fiddled fiddling fiddles
fidget fidgeted fidgeting fidgets
field fielded fielding fields
fife fifed fifing fifes
fight fought fighting fights
figure figured figuring figures
filch filched filching filches
file filed filing files
filet fileted fileting filets
filibuster filibustered filibustering filibusters
filigree filigreed filigreeing filigrees
fill filled filling fills,
fillip filliped filliping fillips
film filmed filming films
filter filtered filtering filters
filthy filthied filthying filthies
filtrate filtrated filtrating filtrates
finagle finagled finagling finagles
finalize finalized finalizing finalizes
finance financed financing finances
financier financiered financiering financiers
find found finding finds
fine fined fining fines
finesse finessed finessing finesses
finger fingered fingering fingers
fingerpaint fingerpainted fingerpainting fingerpaints
fingerprint fingerprinted fingerprinting fingerprints
finish finished finishing finishes
fink finked finking finks
fire fired firing fires
firebomb firebombed firebombing firebombs
firefight firefought firefighting firefights
fireproof fireproofed fireproofing fireproofs
firm firmed firming firms
fish fished fishing fishes
fishtail fishtailed fishtailing fishtails
fission fissioned fissioning fissions
fissure fissured fissuring fissures
fist fisted fisting fists
fix fixed fixing fixes
fixate fixated fixating fixates
fizz fizzed fizzing fizzes
fizzle fizzled fizzling fizzles
flabbergast flabbergasted flabbergasting flabbergasts
flack flacked flacking flacks
flag flagged flagging flags
flagellate flagellated flagellating flagellates
flail flailed flailing flails
flake flaked flaking flakes
flambe flambeed flambeing flambes
flame flamed flaming flames
flameproof flameproofed flameproofing flameproofs
flange flanged flanging flanges
flank flanked flanking flanks
flap flapped flapping flaps
flare flared flaring flares
flash flashed flashing flashes
flat flatted flatting flats
flatten flattened flattening flattens
flatter flattered flattering flatters
flaunt flaunted flaunting flaunts
flavor flavored flavoring flavors
flavour flavoured flavouring flavours
flaw flawed flawing flaws
flay flayed flaying flays
fleck flecked flecking flecks
fledge fledged fledging fledges
flee fled fleeing flees
